茂原	e08c3706-ad59-4913-b4e2-67f2675422e9	1213100017
大網	269d77bc-5b61-4114-a2ea-e8dc2f220823	1210700306
姉ム	c212da55-7ac3-46ac-8e58-386ee65e7129	1210600043
K姉	e7c3c270-3310-4e83-9d6a-79761070a2c3	1210600019
五井	3f18eced-5f51-49b8-bfc1-afcfaa919035	1210600472
高品	a707b5a2-b21b-4c4e-8dac-298191e90b61	1210102263
花見川	39ab7760-e23c-49ce-b17f-c5ccfa776d9c	1210101752
中央	0237ed1e-bf80-412e-955d-1102fb06e078	1210104566
四街道	0276dadf-bd9b-4c9a-a623-4650284c53b2	1210106884
ちはら台	fd0179ae-6a20-4bf2-9ab0-37d61c744f64	1210601116
やわた	bdeaa7d7-f267-4d80-abe2-f6b61217a34a	1210601702
木更津	24596958-b434-466e-800b-842f66f84a8e	1211000318
おゆみ野	4f14d50c-76b5-4f44-ac41-ed6d01f53a30	1210101760
いすみ	4015f747-4f75-4769-a1f2-dca3db6a24fc	1214900183
東郷	66c8a6a4-857e-48bf-a718-6f0f521db8f3	1213100728
袖ケ浦	b9a17be0-7fba-4376-b66e-b1aad414e4b2	1210900435
さつきが丘	be3218e6-9b47-4093-ab7e-46f388242fcc	1210103394
